"BODC reference","Oceanographic data type",Instrument,Platform,"Latitude A","Latitude B","Longitude A","Longitude B","Positional definition","Start date","Start time","End date","End time","Series duration (days)","Sea floor depth (m)","Series depth minimum (m)","Series depth maximum (m)",Project,Country,Organisation,"Quality control (QC)","Series availability",Warnings,Licence
575566,"CTD or STD cast","CTD/STD cast","research vessel",56.2315,-99,-7.177,-999,"Fixed point",2001/11/09,12:57:00,2001/11/09,12:57:00,-99,93,90.15,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925421,"CTD or STD cast","CTD/STD cast","research vessel",56.15917,-99,-5.847,-999,"Fixed point",2008/10/09,07:25:00,2008/10/09,07:25:00,-99,144,111.94,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845598,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.30787,-99,-7.08308,-999,"Fixed point",2003/08/04,20:54:00,2003/08/04,21:07:00,0,85,84,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900151,"CTD or STD cast","CTD/STD cast","research vessel",56.39167,-99,-6.788,-999,"Fixed point",2007/03/25,13:55:00,2007/03/25,13:55:00,-99,80,71.33,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658945,"CTD or STD cast","CTD/STD cast","research vessel",54.26133,-99,-5.3665,-999,"Fixed point",2004/03/14,15:28:00,2004/03/14,15:28:00,-99,54,51.53,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
709800,"CTD or STD cast","CTD/STD cast","research vessel",53.72733,-99,-5.63317,-999,"Fixed point",2005/03/23,15:16:00,2005/03/23,15:16:00,-99,93,88.19,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729536,"CTD or STD cast","CTD/STD cast","research vessel",55.44917,-99,-7.4445,-999,"Fixed point",2006/03/19,18:58:00,2006/03/19,18:58:00,-99,58,56.48,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621164,"CTD or STD cast","CTD/STD cast","research vessel",55.3545,-99,-6.7745,-999,"Fixed point",2002/11/26,05:42:00,2002/11/26,05:42:00,-99,73,69.36,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621060,"CTD or STD cast","CTD/STD cast","research vessel",54.3592,-99,-4.9502,-999,"Fixed point",2002/11/22,09:32:00,2002/11/22,09:32:00,-99,111,107.99,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
558249,"CTD or STD cast","CTD/STD cast","research vessel",55.917,-99,-6.688,-999,"Fixed point",2000/03/13,10:50:00,2000/03/13,10:50:00,-99,56,54.49,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1033771,"CTD or STD cast","CTD/STD cast","research vessel",55.9205,-99,-5.067,-999,"Fixed point",2009/11/03,15:51:00,2009/11/03,15:51:00,-99,75,69.35,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
723608,"CTD or STD cast","CTD/STD cast","research vessel",56.127,-99,-6.3205,-999,"Fixed point",2006/07/15,13:47:00,2006/07/15,13:47:00,-99,68,61.43,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
717387,"CTD or STD cast","CTD/STD cast","research vessel",56.354,-99,-6.13667,-999,"Fixed point",2005/06/13,15:16:00,2005/06/13,15:16:00,-99,49,41.61,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575382,"CTD or STD cast","CTD/STD cast","research vessel",55.9992,-99,-7.1888,-999,"Fixed point",2001/11/03,12:10:00,2001/11/03,12:10:00,-99,112,108.97,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729745,"CTD or STD cast","CTD/STD cast","research vessel",55.97567,-99,-7.33267,-999,"Fixed point",2006/03/25,08:43:00,2006/03/25,08:43:00,-99,112,107.98,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845586,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.38117,-99,-6.515,-999,"Fixed point",2003/08/04,07:04:00,2003/08/04,07:28:00,0,302,294,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658957,"CTD or STD cast","CTD/STD cast","research vessel",53.985,-99,-5.74517,-999,"Fixed point",2004/03/14,19:10:00,2004/03/14,19:10:00,-99,55,52.52,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729548,"CTD or STD cast","CTD/STD cast","research vessel",54.517,-99,-5.229,-999,"Fixed point",2006/03/20,06:02:00,2006/03/20,06:02:00,-99,137,132.75,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925408,"CTD or STD cast","CTD/STD cast","research vessel",56.15833,-99,-5.816,-999,"Fixed point",2008/10/09,06:58:00,2008/10/09,06:58:00,-99,127,99.06,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621072,"CTD or STD cast","CTD/STD cast","research vessel",54.0407,-99,-5.194,-999,"Fixed point",2002/11/22,12:42:00,2002/11/22,12:42:00,-99,86,79.27,5.95,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631693,"CTD or STD cast","CTD/STD cast","research vessel",53.7597,-99,-4.9047,-999,"Fixed point",2003/11/21,09:07:00,2003/11/21,09:07:00,-99,67,65.4,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621176,"CTD or STD cast","CTD/STD cast","research vessel",55.8967,-99,-6.7197,-999,"Fixed point",2002/11/26,10:30:00,2002/11/26,10:30:00,-99,67,64.4,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900138,"CTD or STD cast","CTD/STD cast","research vessel",56.18867,-99,-7.37917,-999,"Fixed point",2007/03/25,11:03:00,2007/03/25,11:03:00,-99,108,98.07,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
717399,"CTD or STD cast","CTD/STD cast","research vessel",56.38033,-99,-6.02583,-999,"Fixed point",2005/06/14,07:12:00,2005/06/14,07:12:00,-99,17,12.88,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1033783,"CTD or STD cast","CTD/STD cast","research vessel",55.94983,-99,-5.07983,-999,"Fixed point",2009/11/03,16:19:00,2009/11/03,16:19:00,-99,67,61.43,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925549,"CTD or STD cast","CTD/STD cast","research vessel",56.183,-99,-5.81767,-999,"Fixed point",2008/10/10,14:30:00,2008/10/10,14:30:00,-99,213,184.22,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658969,"CTD or STD cast","CTD/STD cast","research vessel",53.6555,-99,-5.95567,-999,"Fixed point",2004/03/16,11:57:00,2004/03/16,11:57:00,-99,41,37.66,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925445,"CTD or STD cast","CTD/STD cast","research vessel",56.15983,-99,-5.9105,-999,"Fixed point",2008/10/09,08:25:00,2008/10/09,08:25:00,-99,116,99.06,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658970,"CTD or STD cast","CTD/STD cast","research vessel",53.7425,-99,-5.62433,-999,"Fixed point",2004/03/16,14:25:00,2004/03/16,14:25:00,-99,94,83.24,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729708,"CTD or STD cast","CTD/STD cast","research vessel",55.41867,-99,-6.753,-999,"Fixed point",2006/03/24,13:33:00,2006/03/24,13:33:00,-99,74,68.36,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621188,"CTD or STD cast","CTD/STD cast","research vessel",56.2327,-99,-7.2008,-999,"Fixed point",2002/11/26,13:40:00,2002/11/26,13:40:00,-99,94,85.2,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621047,"CTD or STD cast","CTD/STD cast","research vessel",55.4148,-99,-4.9112,-999,"Fixed point",2002/11/21,20:20:00,2002/11/21,20:20:00,-99,69,66.38,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1033795,"CTD or STD cast","CTD/STD cast","research vessel",55.97217,-99,-5.1125,-999,"Fixed point",2009/11/03,16:43:00,2009/11/03,16:43:00,-99,50,42.6,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900126,"CTD or STD cast","CTD/STD cast","research vessel",55.99267,-99,-7.215,-999,"Fixed point",2007/03/25,08:42:00,2007/03/25,08:42:00,-99,116,106.99,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925537,"CTD or STD cast","CTD/STD cast","research vessel",56.19,-99,-5.82183,-999,"Fixed point",2008/10/10,13:46:00,2008/10/10,13:46:00,-99,230,194.12,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729721,"CTD or STD cast","CTD/STD cast","research vessel",55.94367,-99,-6.68817,-999,"Fixed point",2006/03/24,18:36:00,2006/03/24,18:36:00,-99,63,56.47,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925433,"CTD or STD cast","CTD/STD cast","research vessel",56.15917,-99,-5.87967,-999,"Fixed point",2008/10/09,07:52:00,2008/10/09,07:52:00,-99,156,122.83,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658982,"CTD or STD cast","CTD/STD cast","research vessel",55.45183,-99,-7.4415,-999,"Fixed point",2004/03/17,06:40:00,2004/03/17,06:40:00,-99,58,53.5,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575498,"CTD or STD cast","CTD/STD cast","research vessel",54.0377,-99,-5.2237,-999,"Fixed point",2001/11/05,14:13:00,2001/11/05,14:13:00,-99,87,82.24,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
709812,"CTD or STD cast","CTD/STD cast","research vessel",55.45067,-99,-7.41,-999,"Fixed point",2005/03/24,06:03:00,2005/03/24,06:03:00,-99,57,52.51,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621059,"CTD or STD cast","CTD/STD cast","research vessel",54.5217,-99,-5.2657,-999,"Fixed point",2002/11/22,07:02:00,2002/11/22,07:02:00,-99,124,115.92,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575530,"CTD or STD cast","CTD/STD cast","research vessel",54.4148,-99,-4.9033,-999,"Fixed point",2001/11/08,04:45:00,2001/11/08,04:45:00,-99,70,67.38,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657192,"CTD or STD cast","CTD/STD cast","research vessel",53.60517,-99,-5.85933,-999,"Fixed point",2004/11/24,21:04:00,2004/11/24,21:04:00,-99,62,60.45,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
923358,"CTD or STD cast","CTD/STD cast","research vessel",56.37433,-99,-6.81567,-999,"Fixed point",2008/11/25,06:07:00,2008/11/25,06:07:00,-99,77,69.35,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575529,"CTD or STD cast","CTD/STD cast","research vessel",55.2173,-99,-5.2092,-999,"Fixed point",2001/11/07,22:17:00,2001/11/07,22:17:00,-99,51,43.6,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
653314,"CTD or STD cast","CTD/STD cast","research vessel",56.31283,-99,-5.90933,-999,"Fixed point",2004/10/15,15:52:00,2004/10/15,15:52:00,-99,76,70.34,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
657087,"CTD or STD cast","CTD/STD cast","research vessel",55.428,-99,-4.88483,-999,"Fixed point",2004/11/22,16:03:00,2004/11/22,16:03:00,-99,70,68.36,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
727984,"CTD or STD cast","CTD/STD cast","research vessel",55.99117,-99,-7.31417,-999,"Fixed point",2006/12/02,08:15:00,2006/12/02,08:15:00,-99,108,105.01,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657180,"CTD or STD cast","CTD/STD cast","research vessel",53.78,-99,-5.549,-999,"Fixed point",2004/11/24,17:52:00,2004/11/24,17:52:00,-99,107,104.04,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
1026878,"CTD or STD cast","CTD/STD cast","research vessel",55.22233,-99,-5.2025,-999,"Fixed point",2009/03/23,00:00:00,-99//,-99,-99,50,46.57,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
